sample,condition
FLT_Rep1,FLT
FLT_Rep2,FLT
FLT_Rep3,FLT
FLT_Rep4,FLT
FLT_Rep5,FLT
FLT_Rep6,FLT
GC_Rep1,GC
GC_Rep2,GC
GC_Rep3,GC
GC_Rep4,GC
GC_Rep5,GC
GC_Rep6,GC
