sample,condition
FLT_M23,FLT
FLT_M24,FLT
FLT_M25,FLT
FLT_M26,FLT
FLT_M27,FLT
FLT_M28,FLT
GC_M33,GC
GC_M34,GC
GC_M35,GC
GC_M36,GC
GC_M37,GC
GC_M38,GC
